Company: ,Comcast Corporation Class A 
Date,Open,High,Low,Close,Prediction,Earning
2021-02-12,53.320000,53.599998,52.950001,53.230000,N/A	,13410.024039
2021-02-16,53.000000,53.230000,52.540001,52.840000,N/A	,13410.024039
2021-02-17,52.730000,53.250000,52.410000,52.990002,0.840000,13969.228156
2021-02-18,52.680000,52.869999,52.259998,52.560001,N/A	,13969.228156
2021-02-19,52.410000,52.599998,51.770000,52.099998,N/A	,13969.228156
2021-02-22,51.970001,52.860001,51.810001,52.500000,N/A	,13969.228156
2021-02-23,52.799999,53.419998,52.080002,53.340000,N/A	,13969.228156
2021-02-24,52.570000,53.529999,52.570000,53.400002,N/A	,13969.228156
2021-02-25,53.090000,53.410000,51.950001,52.240002,N/A	,13969.228156
2021-02-26,52.270000,53.459999,51.889999,52.720001,1.570000,14950.407927
2021-03-01,53.220001,54.709999,52.880001,54.450001,N/A	,14950.407927
2021-03-02,54.310001,54.779999,54.070000,54.250000,N/A	,14950.407927
2021-03-03,53.919998,54.799999,53.639999,53.730000,N/A	,14950.407927
2021-03-04,53.820000,55.250000,53.599998,53.930000,1.650002,15185.349304
2021-03-05,54.689999,55.270000,53.930000,55.090000,N/A	,15185.349304
2021-03-08,54.820000,55.830002,54.669998,55.480000,N/A	,15185.349304
2021-03-09,55.470001,56.119999,55.110001,55.570000,N/A	,15185.349304
2021-03-10,56.099998,57.689999,55.770000,57.209999,N/A	,15185.349304
2021-03-11,56.619999,57.700001,56.610001,56.889999,N/A	,15185.349304
2021-03-12,56.849998,57.389999,56.209999,57.090000,N/A	,15185.349304
2021-03-15,57.230000,57.590000,56.529999,57.529999,N/A	,15185.349304
2021-03-16,57.590000,58.590000,57.369999,58.040001,N/A	,15185.349304
2021-03-17,57.400002,57.880001,56.560001,57.500000,N/A	,15185.349304
2021-03-18,56.680000,57.119999,55.799999,55.869999,N/A	,15185.349304
2021-03-19,55.520000,56.040001,55.270000,55.459999,N/A	,15185.349304
2021-03-22,55.700001,56.520000,55.250000,56.369999,N/A	,15185.349304
2021-03-23,56.459999,56.720001,56.000000,56.139999,N/A	,15185.349304
